,commodity,num of obs
190,Biogases - Transformation in CHP plants - autoproducers,480
568,Conventional crude oil - exports,479
988,Hard coal - transformation in electricity plants - main activity producers,479
2058,Feedstocks - imports,478
1650,Other bituminous coal - transformation in main activity producer electricity plants,478
1691,Other kerosene - Exports,475
640,Electricity generating capacity - Pumped hydro - Total,474
864,Gas Oil/ Diesel Oil - Transfers and recycled products,474
639,Electricity generating capacity - Pumped hydro - Main activity producers,474
1323,Motor Gasoline - Transfers and recycled products,472
2258,White spirit and special boiling point industrial spirits - Stock changes,471
1192,Liquefied petroleum gas (LPG) - consumption by chemical and petrochemical,471
1797,Other oil products n.e.c. - Transfers and recycled products,471
667,"Electricity - total net installed capacity of electric power plants, nuclear",468
1509,Electricity - total nuclear production,468
650,"Electricity - net installed capacity of electric power plants, public nuclear",468
535,Coking coal - stock changes,466
941,Hard coal - consumption by food and tobacco industry,464
380,Brown coal - imports,461
2250,White spirit and special boiling point industrial spirits - Exports,460
755,Fuelwood - Consumption by commerce and public services,459
704,Fuel oil - Consumption by mining and quarrying ,458
1150,"Lignite - Consumption by manufacturing, construction and non-fuel industry",458
1155,"Lignite - Consumption by other manuf., const. and non-fuel ind.",458
2032,Petroleum coke - Exports,456
2062,Feedstocks - transfers and recycled products,455
1225,Liquefied petroleum gas (LPG) - Transformation,454
1467,Natural Gas (including LNG) - transformation in heat plants - main activity producers,453
419,Charcoal - Imports,453
2106,Electricity - total solar production,453
1426,Natural gas (including LNG) - consumption in road,447
1604,Other bituminous coal - consumption by iron and steel industry,447
1195,Liquefied petroleum gas (LPG) - consumption by iron and steel industry,446
1087,Industrial waste - Final consumption,444
1088,Industrial Waste - Final energy consumption,444
1073,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",442
1289,Motor Gasoline - Consumption by other,441
364,Brown coal - consumption by Other,440
1100,Industrial Waste - Transformation,439
162,"Biogases - Consumption by manufacturing, construction and non-fuel mining industry",438
1205,Liquefied petroleum gas (LPG) - Energy industries own use,437
1016,"Heat - Consumption by agriculture, forestry and fishing",435
1238,"Liquified Petroleum Gas (LPG) - Consumption by paper, pulp and print",435
1104,"Industrial waste - Transformation in electricity, CHP and heat plants",434
1078,"Industrial Waste - Consumption by other manuf., const. and non-fuel ind.",434
780,Fuelwood - Imports,434
1501,Natural gas liquids - Total energy supply,431
2031,Petroleum coke - Energy industries own use,429
167,"Biogases - Consumption by other manuf., const. and non-fuel ind.",429
2042,Petroleum coke - Own use by oil refineries,428
2036,Petroleum coke - Non-energy uses,428
1020,Heat - Consumption by food and tobacco,427
792,Fuelwood - Transformation in CHP plants - autoproducers,426
1503,Natural gas liquids - Transformation,425
389,Brown coal - production,425
2024,Petroleum Coke - Consumption by non-metallic minerals ,422
1430,Natural gas (including LNG) - exports,422
5,Additives and Oxygenates - Total energy supply,422
420,Charcoal - Production,421
643,Electricity generating capacity - Solar PV - Total,420
1602,Other bituminous coal - consumption by food and tobacco industry,419
1031,"Heat - Consumption by paper, pulp and print",418
1674,"Other kerosene - Consumption by manufacturing, construction and non-fuel industry",418
771,Fuelwood - Consumption by wood and wood products ,414
1300,"Motor Gasoline - Consumption in agriculture, forestry and fishing",414
1879,Paraffin waxes - Production,413
1599,Other bituminous coal - consumption by chemical and petrochemical industry,413
1880,Paraffin waxes - production from refineries,413
1679,"Other kerosene - Consumption by other manuf., const. and non-fuel ind.",413
1179,Lignite - Stock changes,410
281,Blast Furnace Gas - Energy industries own use,410
696,Fuel oil - Consumption by construction ,409
615,Direct use of geothermal heat - Final energy consumption,408
607,Direct use of geothermal heat - Consumption by other,408
156,Biogases - Consumption by commerce and public services,408
772,"Fuelwood - Consumption in agriculture, forestry and fishing",407
1187,"Lignite - Transformation in electricity, CHP and heat plants",405
1778,Other oil products n.e.c. - Energy industries own use,405
1181,Lignite - Transformation,405
2180,Electricity - Consumption not elsewhere specified (transport),405
976,Hard coal - production,403
1032,Heat - Consumption by textile and leather,402
1231,Liquified Petroleum Gas (LPG) - Consumption by construction,401
1022,Heat - Consumption by iron and steel,401
